"service_id","date","exception_type"
"2F5F91A7","20241017","1"
"2F5F91A7","20241018","1"
"2F5F91A7","20241021","1"
"2F5F91A7","20241022","1"
"2F5F91A7","20241023","1"
"2F5F91A7","20241024","1"
"2F5F91A7","20241025","1"
"2F5F91A7","20241028","1"
"2F5F91A7","20241029","1"
"2F5F91A7","20241030","1"
"2F5F91A7","20241031","1"
"2F5F91A7","20241101","1"
"2F5F91A7","20241104","1"
"2F5F91A7","20241105","1"
"2F5F91A7","20241106","1"
"2F5F91A7","20241107","1"
"2F5F91A7","20241108","1"
"AD3E3AD0","20241019","1"
"AD3E3AD0","20241020","1"
"AD3E3AD0","20241026","1"
"AD3E3AD0","20241027","1"
"AD3E3AD0","20241102","1"
"AD3E3AD0","20241103","1"
"AD3E3AD0","20241109","1"
"AD3E3AD0","20241110","1"
"B56BAC61","20241017","1"
"B56BAC61","20241018","1"
"B56BAC61","20241022","1"
"B56BAC61","20241023","1"
"B56BAC61","20241024","1"
"B56BAC61","20241025","1"
"B56BAC61","20241029","1"
"B56BAC61","20241030","1"
"B56BAC61","20241031","1"
"B56BAC61","20241101","1"
"B56BAC61","20241105","1"
"B56BAC61","20241106","1"
"B56BAC61","20241107","1"
"B56BAC61","20241108","1"
"F23B56B3","20241018","1"
"F23B56B3","20241025","1"
"F23B56B3","20241101","1"
"F23B56B3","20241108","1"
"0AC2AE50","20241019","1"
"0AC2AE50","20241026","1"
"0AC2AE50","20241102","1"
"0AC2AE50","20241109","1"
"BC70C1EE","20241020","1"
"BC70C1EE","20241026","1"
"BC70C1EE","20241027","1"
"BC70C1EE","20241102","1"
"BC70C1EE","20241103","1"
"BC70C1EE","20241109","1"
"BC70C1EE","20241110","1"
"06804946","20241019","1"
"F57CB0B3","20241026","1"
"F57CB0B3","20241027","1"
"F57CB0B3","20241102","1"
"F57CB0B3","20241103","1"
"F57CB0B3","20241109","1"
"F57CB0B3","20241110","1"
"C7C04DCA","20241019","1"
"C7C04DCA","20241020","1"
"B25E5865","20241017","1"
"B25E5865","20241018","1"
"B25E5865","20241022","1"
"B25E5865","20241023","1"
"B25E5865","20241024","1"
"B25E5865","20241025","1"
"B25E5865","20241028","1"
"B25E5865","20241029","1"
"B25E5865","20241030","1"
"B25E5865","20241031","1"
"B25E5865","20241101","1"
"B25E5865","20241104","1"
"B25E5865","20241105","1"
"B25E5865","20241106","1"
"B25E5865","20241107","1"
"B25E5865","20241108","1"
"6D32AA12","20241021","1"
"D3E53D87","20241017","1"
"D3E53D87","20241018","1"
"D3E53D87","20241021","1"
"D3E53D87","20241022","1"
"D3E53D87","20241023","1"
"D3E53D87","20241024","1"
"D3E53D87","20241028","1"
"D3E53D87","20241029","1"
"D3E53D87","20241030","1"
"D3E53D87","20241031","1"
"D3E53D87","20241101","1"
"D3E53D87","20241104","1"
"D3E53D87","20241105","1"
"D3E53D87","20241106","1"
"D3E53D87","20241107","1"
"D3E53D87","20241108","1"
"B144AE01","20241025","1"
"2A769358","20241021","1"
"2A769358","20241028","1"
"2A769358","20241029","1"
"2A769358","20241030","1"
"2A769358","20241031","1"
"2A769358","20241101","1"
"2A769358","20241104","1"
"2A769358","20241105","1"
"2A769358","20241106","1"
"2A769358","20241107","1"
"2A769358","20241108","1"
"F97021E4","20241017","1"
"F97021E4","20241018","1"
"F97021E4","20241022","1"
"F97021E4","20241023","1"
"F97021E4","20241024","1"
"F97021E4","20241025","1"
"95F32F9D","20241019","1"
"95F32F9D","20241026","1"
"95F32F9D","20241027","1"
"95F32F9D","20241102","1"
"95F32F9D","20241103","1"
"95F32F9D","20241109","1"
"95F32F9D","20241110","1"
"DA2F6B16","20241020","1"
"3D89BE37","20241020","1"
"3D89BE37","20241021","1"
"D762B4CF","20241017","1"
"D762B4CF","20241021","1"
"D762B4CF","20241022","1"
"D762B4CF","20241023","1"
"D762B4CF","20241024","1"
"D762B4CF","20241025","1"
"D762B4CF","20241028","1"
"D762B4CF","20241029","1"
"D762B4CF","20241030","1"
"D762B4CF","20241031","1"
"D762B4CF","20241101","1"
"D762B4CF","20241104","1"
"D762B4CF","20241105","1"
"D762B4CF","20241106","1"
"D762B4CF","20241107","1"
"D762B4CF","20241108","1"
"B19D8842","20241018","1"
"CAB99A82","20241017","1"
"CAB99A82","20241018","1"
"CAB99A82","20241021","1"
"CAB99A82","20241022","1"
"CAB99A82","20241023","1"
"CAB99A82","20241024","1"
"CAB99A82","20241028","1"
"CAB99A82","20241029","1"
"CAB99A82","20241030","1"
"CAB99A82","20241031","1"
"CAB99A82","20241104","1"
"CAB99A82","20241105","1"
"CAB99A82","20241106","1"
"CAB99A82","20241107","1"
"0E6D1F49","20241025","1"
"0E6D1F49","20241101","1"
"0E6D1F49","20241108","1"
"237DFAAE","20241017","1"
"237DFAAE","20241018","1"
"237DFAAE","20241021","1"
"237DFAAE","20241022","1"
"237DFAAE","20241023","1"
"237DFAAE","20241024","1"
"237DFAAE","20241025","1"
"237DFAAE","20241029","1"
"237DFAAE","20241030","1"
"237DFAAE","20241031","1"
"237DFAAE","20241101","1"
"237DFAAE","20241105","1"
"237DFAAE","20241106","1"
"237DFAAE","20241107","1"
"237DFAAE","20241108","1"
"EBD3130F","20241028","1"
"EBD3130F","20241104","1"
"43C06B67","20241026","1"
"43C06B67","20241102","1"
"43C06B67","20241109","1"
"72CE58BB","20241027","1"
"72CE58BB","20241028","1"
"72CE58BB","20241103","1"
"72CE58BB","20241104","1"
"72CE58BB","20241110","1"
"847004D0","20241018","1"
"847004D0","20241021","1"
"847004D0","20241022","1"
"847004D0","20241023","1"
"847004D0","20241024","1"
"847004D0","20241025","1"
"847004D0","20241028","1"
"847004D0","20241029","1"
"847004D0","20241030","1"
"847004D0","20241031","1"
"847004D0","20241101","1"
"847004D0","20241104","1"
"847004D0","20241105","1"
"847004D0","20241106","1"
"847004D0","20241107","1"
"847004D0","20241108","1"
"0C20C77A","20241017","1"
"88A24CA4","20241021","1"
"88A24CA4","20241022","1"
"88A24CA4","20241023","1"
"88A24CA4","20241024","1"
"88A24CA4","20241025","1"
"88A24CA4","20241028","1"
"88A24CA4","20241029","1"
"88A24CA4","20241030","1"
"88A24CA4","20241031","1"
"88A24CA4","20241101","1"
"88A24CA4","20241104","1"
"88A24CA4","20241105","1"
"88A24CA4","20241106","1"
"88A24CA4","20241107","1"
"88A24CA4","20241108","1"
"A3B76D35","20241017","1"
"A3B76D35","20241018","1"
"FD838AF9","20241027","1"
"FD838AF9","20241102","1"
"FD838AF9","20241103","1"
"FD838AF9","20241109","1"
"FD838AF9","20241110","1"
"6862ED0C","20241026","1"
"5596D93B","20241020","1"
"5596D93B","20241027","1"
"5596D93B","20241102","1"
"5596D93B","20241103","1"
"5596D93B","20241109","1"
"5596D93B","20241110","1"
"758DCBD0","20241019","1"
"758DCBD0","20241026","1"
"35194615","20241019","1"
"35194615","20241020","1"
"35194615","20241027","1"
"35194615","20241102","1"
"35194615","20241103","1"
"35194615","20241109","1"
"35194615","20241110","1"
"12B3CE0F","20241019","1"
"12B3CE0F","20241020","1"
"12B3CE0F","20241102","1"
"12B3CE0F","20241103","1"
"37139A83","20241102","1"
"37139A83","20241103","1"
"DA3C4428","20241017","1"
"DA3C4428","20241018","1"
"DA3C4428","20241021","1"
"DA3C4428","20241022","1"
"DA3C4428","20241023","1"
"DA3C4428","20241024","1"
"DA3C4428","20241028","1"
"DA3C4428","20241029","1"
"DA3C4428","20241030","1"
"DA3C4428","20241031","1"
"DA3C4428","20241101","1"
"DA3C4428","20241104","1"
"DA3C4428","20241105","1"
"DA3C4428","20241106","1"
"DA3C4428","20241107","1"
"18E7100B","20241017","1"
"18E7100B","20241018","1"
"18E7100B","20241021","1"
"18E7100B","20241022","1"
"18E7100B","20241023","1"
"18E7100B","20241024","1"
"18E7100B","20241025","1"
